17 Events Counted per Perf Invocation: 
Each Perf Invocation was repeated 50 times

"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-load-misses,branch-loads,dTLB-load-misses,iTLB-load-misses,br_immed_retired,br_mis_pred"

--cache-ops 100
L1-icache-loads,3417662541,3082215998,3065274593,3078654344,3328739696,3165175722,3059248393,3074761950,3191991849,3115640456,3079546943,3077309554,3100669308,3093680472,3097365385,3112093551,3132403771,3117301292,3084662180,3103112369,3107889015,3095523992,3160497131,3115133205,3131100043,3077686510,3074677005,3112959618,3100092650,3114648580,3094258820,3083702098,3115141234,3115405350,3109148133,3118580782,3107145194,3115447380,3061611694,3122709501,3033695341,3071813404,3151909744,3060982550,3127015730,3105089210,3131456068,3138270935,3093236422,3133466229
branch-load-misses,24649710,18145403,18051418,19256168,21839031,20740030,17428374,18233101,20771563,20150888,18283163,19241422,19432623,17360252,18989466,18579570,19071634,18174417,18435248,18632711,18263877,18879036,18700642,17939370,20744087,17260522,18129725,18076576,19068962,18544213,18730673,17119591,18338584,17795437,17846321,18080241,20159101,19633594,17175529,18709387,17333232,18184038,20408410,17640881,20319234,19382376,18210737,20561208,17357451,20949321
branch-loads,1036326960,945006563,943986659,945772109,1009401087,967877213,941792918,941441993,981089593,958464468,941319267,942298832,953790007,946373140,945186553,937951686,948130744,950443421,944600445,967467006,943545403,959695091,960503880,938376589,959348889,938811805,955327946,947065010,938403251,955632614,955816852,952585580,949055579,949922561,949168314,940242715,952258487,955665558,944769636,943334399,940488617,937311726,955212915,947217352,959744220,944377716,954659838,948307921,949028614,957083682
dTLB-load-misses,383317,204328,104322,148922,573827,270304,103457,148651,561984,225547,216932,122536,139189,156717,123065,122295,137356,155788,127802,151782,115788,150930,114492,155110,101988,153566,147078,142330,148367,153492,124424,169230,165256,147689,150802,135428,144754,156584,125314,142266,95149,139953,183115,110688,165479,149211,165020,164219,146881,166115
iTLB-load-misses,152093,100257,39821,52618,252711,119043,46342,54587,177814,100387,122121,49520,56831,60619,43969,50825,53387,58109,40601,55885,43302,47344,56742,57127,44338,53685,64842,60535,70379,59465,50472,63541,68187,62509,59920,45743,54240,56120,63612,54337,42465,55243,58736,50687,64340,59790,73159,60402,55424,63563
br_immed_retired,896167836,841001866,844220760,836257407,903711518,856532762,844428004,838485323,883185051,849568101,852673505,835790768,848548762,838441863,833250114,828225803,834832856,840603257,841419338,844584032,848051915,850091431,844969216,831508196,843462102,837384615,845087280,833084025,831206121,855335231,853074373,845971620,847324565,838814062,854182976,830817794,838535147,852281555,859097884,834700442,850066784,837453502,843521875,850319335,852988956,839746724,855475660,839820045,844524411,843622997
br_mis_pred,21431683,18113982,17860812,16840510,23100411,18734287,18216758,17566461,20434551,18649828,19183558,17572016,17563533,18733846,16825335,17543332,18367013,18324085,16862306,20316002,18382082,19778718,16564293,19207847,18740770,17095349,20750973,15703732,19035944,18586522,18820234,18474316,18894234,18657596,18988738,17868516,17477196,19900959,19985063,16943188,18599713,18472753,17387150,19903387,18397319,16619910,18351204,16265508,17981176,18119346

--io-ops 150
branch-misses,31324396,28955065,26302346,35516245,26801774,30450136,27001817,30003917,31348895,29237637,27045125,27511306,26400684,26743435,25557595,29030428,25985375,31812379,29970020,25032669,23873369,30853206,26272316,30606466,28271327,29676733,25659221,25996083,26383222,28603971,28069593,29811699,26775185,25250409,25687745,29148978,27332766,29168234,25333292,27312281,27703048,29376477,27795008,24471307,28106572,29262330,29583235,29369186,28391334,31312405
branch-instructions,950352909,923679094,905199139,986988185,908605465,940136649,906504382,941146799,928984106,924662533,918336037,919724480,906057519,916186554,908046514,923264313,906773557,937633594,919098513,914973360,909511072,932154614,925041300,928161390,924043858,940534867,906753371,925910782,899067346,934911417,917410432,938529729,909286017,919913603,915059312,935521243,921887503,926630584,909416412,940405675,913636875,934287512,931156241,910799185,934086260,938756086,933858539,926899738,940922923,936139388
bus-cycles,4645905031,4240036077,4027589336,4974797991,4006996499,4490084332,3997440782,4412247806,4386492233,4221428201,4175971058,4199873749,3990333970,4199004825,3966622447,4272354488,3993425397,4279122167,3998898034,4242569226,4009100328,4190301633,4003183771,4153899783,3974982098,4158810095,3964687300,4131414672,3996786544,4098565228,3966268766,4145046839,4013017667,4124289872,3980984266,4173804907,4022276579,4136674611,3994749429,4151372774,3959115897,4117228226,4144978207,3958934831,4178512618,4133056591,4168947127,4165323575,4179470380,4153186907
cache-misses,18295422,13933613,13023731,21756977,12977731,15803507,13624512,17498542,14822116,14818922,14661756,13414851,15296453,13176476,14599283,14806437,13421908,15299225,12804127,16034799,14563244,14162024,14240684,14830533,13125788,14850168,14603608,15462095,13497101,13629258,13651073,15591620,15274617,15235192,14174790,15436363,13887604,14444656,13565540,15439329,13797076,14160374,15576128,14088300,15250254,14590653,14610641,15806364,14129225,14611950
cache-references,1386121569,1317500725,1227326452,1472911756,1232350402,1305036036,1238633891,1380431324,1294719298,1267812909,1245862184,1303545510,1247631375,1296201263,1244112842,1338517340,1238874385,1307201427,1258599533,1308448364,1223705794,1311642919,1241784347,1312217490,1244489904,1311469140,1240745746,1303141374,1259494208,1309616676,1278942124,1325273542,1256433859,1322711482,1247875905,1323954917,1259319350,1325007697,1283555623,1320406703,1268220806,1298567996,1320911268,1253953309,1287225001,1321914961,1339070539,1310148001,1333133407,1336057071
cpu-cycles,9318621532,8560957019,8052550251,9878172383,8018468600,8927144750,7981894215,8982190270,8782944416,8419316837,8266773210,8380483159,7982764152,8369064499,7967076414,8490530538,7949522086,8535677523,8019555486,8471328347,8003884945,8396442142,7986491782,8291402109,7944333804,8297337671,7944763418,8334036527,7952711144,8210913835,7911383729,8317423015,7989073061,8357126211,7958047944,8351532835,7996477517,8315646632,7981649392,8258932601,7909657849,8226339980,8249313675,7942823930,8307670943,8340441553,8315569207,8231683055,8324768557,8247420918
